[ 2014-10-31T10:09:42+08:00 ] /admin.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2014-10-31T10:09:42+08:00 ] /admin.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.003713s ]
[ 2014-10-31T10:09:42+08:00 ] /admin.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.022109s ]
[ 2014-10-31T10:09:42+08:00 ] /admin.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2014-10-31T10:09:42+08:00 ] /admin.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001954s ]
[ 2014-10-31T10:09:42+08:00 ] /admin.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002131s ]
[ 2014-10-31T10:09:42+08:00 ] /admin.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2014-10-31T10:09:42+08:00 ] /admin.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.002353s ]
[ 2014-10-31T10:09:42+08:00 ] /admin.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.002580s ]
[ 2014-10-31T10:09:42+08:00 ] /admin.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2014-10-31T10:09:42+08:00 ] /admin.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.045595s ]
[ 2014-10-31T10:09:42+08:00 ] /admin.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.045740s ]
[ 2014-10-31T10:09:42+08:00 ] /admin.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2014-10-31T10:09:42+08:00 ] /admin.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.000958s ]
[ 2014-10-31T10:09:42+08:00 ] /admin.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.001253s ]
[ 2014-10-31T10:09:42+08:00 ] /admin.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000731s ]
[ 2014-10-31T10:09:42+08:00 ] /admin.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000994s ]
[ 2014-10-31T10:09:42+08:00 ] /admin.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004172s ]
[ 2014-10-31T10:09:42+08:00 ] /admin.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2014-10-31T10:09:42+08:00 ] /admin.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001244s ]
[ 2014-10-31T10:09:42+08:00 ] /admin.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001364s ]
[ 2014-10-31T10:09:42+08:00 ] /admin.php/Common/verify | INFO: Tag[ route_check ] --START--
[ 2014-10-31T10:09:42+08:00 ] /admin.php/Common/verify | INFO: Run CheckRoute Behavior [ RunTime:0.000959s ]
[ 2014-10-31T10:09:42+08:00 ] /admin.php/Common/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001051s ]
[ 2014-10-31T10:09:42+08:00 ] /admin.php/Common/verify | INFO: Tag[ app_begin ] --START--
